coding	meaning
1001561000000100	Plasma iron level (observable entity)
1004511000000100	Serum magnesium adjusted level (observable entity)
1004511000000100	Serum magnesium adjusted level (observable entity)
1004591000000109	Serum clozapine level (observable entity)
1004731000000104	Blood cyclosporin level (observable entity)
1004741000000108	Plasma amikacin level (observable entity)
1006661000000109	Serum phenytoin level (observable entity)
1006671000000102	Serum carbamazepine level (observable entity)
1006681000000100	Serum lithium level (observable entity)
1006691000000103	Serum digoxin level (observable entity)
1006831000000103	Plasma gentamicin level (observable entity)
1006871000000101	Plasma tobramycin level (observable entity)
1006901000000101	Serum amikacin level (observable entity)
1006931000000107	Serum gentamicin level (observable entity)
1006961000000102	Serum tobramycin level (observable entity)
1007061000000103	Blood arterial pH (observable entity)
1007141000000103	Plasma human chorionic gonadotropin multiple of median (observable entity)
1007221000000101	Base excess (observable entity)
1007231000000104	Plasma free beta human chorionic gonadotropin multiple of median (observable entity)
1007281000000100	Serum apolipoprotein B level (observable entity)
1007661000000106	Autoantibody level (observable entity)
1007681000000102	Serum glomerular basement membrane antibody level (observable entity)
1007741000000102	Glutamic acid decarboxylase antibody level (observable entity)
1007891000000104	Antimicrobial drug level (observable entity)
1007921000000107	Acute kidney injury warning stage (observable entity)
1007991000000105	Serum total 25-hydroxy vitamin D level (observable entity)
1008501000000107	Whole blood tacrolimus concentration (observable entity)
1008861000000109	Parvovirus B19 antibody level (observable entity)
1008931000000108	Hepatitis C antibody test (observable entity)
1009251000000100	Microbiology test (observable entity)
1009301000000107	Saturation of iron binding capacity (observable entity)
1009301000000107	Saturation of iron binding capacity (observable entity)
1009461000000103	Parvovirus antibody level (observable entity)
1005561000000102	Plasma oxalate level (observable entity)
1005661000000103	Serum lipids level (observable entity)
1005671000000105	Serum cholesterol level (observable entity)
1005681000000107	Serum high density lipoprotein cholesterol level (observable entity)
1005681000000107	Serum high density lipoprotein cholesterol level (observable entity)
1005691000000109	Serum triglycerides level (observable entity)
1005781000000104	Serum valproate concentration (observable entity)
1003451000000103	Phenylalanine level (observable entity)
1003591000000107	Serum phenylalanine level (observable entity)
1003671000000109	Haemoglobin A1c level (observable entity)
1003761000000107	Whole blood sirolimus concentration (observable entity)
1015171000000102	Complement C1q level (observable entity)
1015231000000107	Serum insulin - C-polypeptide level (observable entity)
1015261000000102	Serum troponin T level (observable entity)
1015431000000108	Thrombin time (observable entity)
1015471000000105	Percentage neutrophils (observable entity)
1015491000000109	Percentage monocytes (observable entity)
1015491000000109	Percentage monocytes (observable entity)
1015501000000103	Percentage basophils (observable entity)
1015501000000103	Percentage basophils (observable entity)
1015561000000104	Percentage eosinophils (observable entity)
1015561000000104	Percentage eosinophils (observable entity)
1015971000000100	Renal function tests (observable entity)
1016211000000107	Fluid sample osmolality (observable entity)
1016311000000102	Osmolality urine/serum ratio (observable entity)
1016381000000109	Fluid sample triglyceride level (observable entity)
1016671000000104	Islet cell antibody level (observable entity)
1016681000000102	Myeloperoxidase antibody level (observable entity)
1016741000000102	Immunology test (observable entity)
1016851000000107	Thyroid function test (observable entity)
1016961000000104	Serum free triiodothyronine level (observable entity)
1016961000000104	Serum free triiodothyronine level (observable entity)
1016971000000106	Serum free T4 level (observable entity)
1009751000000107	Fluid sample globulin level (observable entity)
1009801000000100	Epstein-Barr virus serology (observable entity)
1009871000000108	Gram stain microscopy (observable entity)
1010221000000104	Urine oxalate level (observable entity)
1010391000000109	Fluid sample creatinine (observable entity)
1010391000000109	Fluid sample creatinine (observable entity)
1010401000000107	Fluid sample glucose (observable entity)
1010401000000107	Fluid sample glucose (observable entity)
1010461000000106	Anti-neutrophil cytoplasmic antibody level (observable entity)
1010501000000106	Serum T3 level (observable entity)
1010511000000108	Serum T4 level (observable entity)
1010531000000100	Serum aldosterone level (observable entity)
1010561000000105	Plasma apolipoprotein B level (observable entity)
1010571000000103	Plasma lipoprotein A level (observable entity)
1010581000000101	Plasma high density lipoprotein cholesterol level (observable entity)
1010581000000101	Plasma high density lipoprotein cholesterol level (observable entity)
1010591000000104	Plasma low density lipoprotein cholesterol level (observable entity)
1010591000000104	Plasma low density lipoprotein cholesterol level (observable entity)
1010601000000105	Plasma triglyceride level (observable entity)
1010611000000107	Serum glucose level (observable entity)
1010611000000107	Serum glucose level (observable entity)
1010671000000102	Plasma glucose level (observable entity)
1011031000000101	Serum glutamic acid decarboxylase antibody concentration (observable entity)
1011481000000105	Estimated glomerular filtration rate using creatinine Chronic Kidney Disease Epidemiology Collaboration equation per 1.73 square metres (observable entity)
1011491000000107	Estimated glomerular filtration rate using cystatin C Chronic Kidney Disease Epidemiology Collaboration equation per 1.73 square metres (observable entity)
1011561000000102	Serum lipoprotein(a) level (observable entity)
1011981000000101	Extractable nuclear antigen antibody screening test (observable entity)
1012131000000106	Brain natriuretic peptide level (observable entity)
1012671000000103	Blood potassium level (observable entity)
1012671000000103	Blood potassium level (observable entity)
1012681000000101	Blood sodium level (observable entity)
1012681000000101	Blood sodium level (observable entity)
1012691000000104	Blood chloride level (observable entity)
1012701000000104	Blood bicarbonate level (observable entity)
1012811000000107	Plasma phenylalanine level (observable entity)
1012961000000103	Plasma aldosterone level (observable entity)
1013011000000105	Plasma renin level (observable entity)
1013021000000104	Plasma parathyroid hormone level (observable entity)
1013041000000106	Plasma alkaline phosphatase level (observable entity)
1013041000000106	Plasma alkaline phosphatase level (observable entity)
1013211000000103	Plasma alanine aminotransferase level (observable entity)
1013211000000103	Plasma alanine aminotransferase level (observable entity)
1013361000000105	Plasma albumin level (observable entity)
1013361000000105	Plasma albumin level (observable entity)
1013661000000104	Percentage iron saturation (observable entity)
1014191000000104	Hantavirus antibody level (observable entity)
1014201000000102	Hepatitis B surface antibody level (observable entity)
1014231000000108	Hepatitis B core antibody level (observable entity)
1014371000000100	Parvovirus B19 immunoglobulin M level (observable entity)
1014601000000100	Tumour marker levels (observable entity)
1014971000000101	Viral load (observable entity)
1018171000000105	Fibrinogen degradation products (observable entity)
1018251000000107	Serum alanine aminotransferase level (observable entity)
1018251000000107	Serum alanine aminotransferase level (observable entity)
1019781000000103	Urine osmolality (observable entity)
1019881000000107	Urine chloride level (observable entity)
1020231000000105	Serum netilmicin level (observable entity)
1020291000000106	Glomerular filtration rate calculated by abbreviated Modification of Diet in Renal Disease Study Group calculation (observable entity)
1020681000000107	Sodium level (observable entity)
1020831000000109	Lipid level (observable entity)
1021111000000102	Transferrin level (observable entity)
1021111000000102	Transferrin level (observable entity)
1022161000000106	Blood grouping (observable entity)
1022191000000100	Serum low density lipoprotein cholesterol level (observable entity)
1022191000000100	Serum low density lipoprotein cholesterol level (observable entity)
1022451000000103	Red blood cell count (observable entity)
1022471000000107	Mean corpuscular haemoglobin (observable entity)
1022481000000109	Mean corpuscular haemoglobin concentration (observable entity)
1022501000000100	Plasma viscosity (observable entity)
1022511000000103	Erythrocyte sedimentation rate (observable entity)
1022521000000109	Glucose 6-phosphate dehydrogenase (observable entity)
1022551000000104	Neutrophil count (observable entity)
1022551000000104	Neutrophil count (observable entity)
1022561000000101	Eosinophil count (observable entity)
1022561000000101	Eosinophil count (observable entity)
1022571000000108	Basophil count (observable entity)
1022571000000108	Basophil count (observable entity)
1022591000000107	Monocyte count (observable entity)
1022591000000107	Monocyte count (observable entity)
1022651000000100	Platelet count (observable entity)
1022651000000100	Platelet count (observable entity)
1022791000000101	Serum thyroid stimulating hormone level (observable entity)
1022791000000101	Serum thyroid stimulating hormone level (observable entity)
1022801000000102	Plasma thyroid stimulating hormone level (observable entity)
1022801000000102	Plasma thyroid stimulating hormone level (observable entity)
1022811000000100	Plasma free triiodothyronine level (observable entity)
1022811000000100	Plasma free triiodothyronine level (observable entity)
1022821000000106	Plasma total T4 level (observable entity)
1022831000000108	Serum total T4 level (observable entity)
1022841000000104	Plasma free T4 level (observable entity)
1023491000000104	Urine albumin:creatinine ratio (observable entity)
1018851000000108	Glucose level (observable entity)
1018851000000108	Glucose level (observable entity)
1019221000000107	D-dimer level (observable entity)
1019301000000109	Fibrinogen level (observable entity)
1019351000000105	Serum iron level (observable entity)
1019351000000105	Serum iron level (observable entity)
1019491000000106	Red blood cell volume (observable entity)
1019561000000101	Blood haematinic levels (observable entity)
1019561000000101	Blood haematinic levels (observable entity)
1017381000000106	Plasma sodium level (observable entity)
1017381000000106	Plasma sodium level (observable entity)
1017391000000108	Plasma calcium level (observable entity)
1017391000000108	Plasma calcium level (observable entity)
1017401000000106	Plasma potassium level (observable entity)
1017401000000106	Plasma potassium level (observable entity)
1017421000000102	Plasma amino acid levels (observable entity)
1017441000000109	Serum amino acid level (observable entity)
1017541000000108	Trace element level (observable entity)
1017781000000107	Blood transfusion test (observable entity)
1005671000000105	Serum cholesterol level
1005691000000109	Serum triglycerides level
1006661000000109	Serum phenytoin level
1007921000000107	Acute kidney injury warning stage
1009871000000108	Gram stain microscopy
1010501000000106	Serum T3 level
1013211000000103	Plasma alanine aminotransferase level
1013211000000103	Plasma alanine aminotransferase level
1015971000000100	Renal function tests
1018171000000105	Fibrinogen degradation products
1020831000000109	Lipid level
1022481000000109	MCHC - Mean corpuscular haemoglobin concentration
1022651000000100	Platelet count
1022651000000100	Platelet count
1023491000000104	Urine albumin:creatinine ratio
1024201000000105	Fluid sample bilirubin (observable entity)
1024201000000105	Fluid sample bilirubin (observable entity)
1024211000000107	Fluid sample pH (observable entity)
1024231000000104	Fluid sample cholesterol level (observable entity)
1024251000000106	Fluid sample calcium level (observable entity)
1024451000000105	Fluid sample phosphate level (observable entity)
1024461000000108	Fluid sample magnesium level (observable entity)
1024461000000108	Fluid sample magnesium level (observable entity)
9.92911E+14	Plasma ferritin level
9.92911E+14	Plasma ferritin level
9.93661E+14	Fluid sample albumin
9.93661E+14	Fluid sample albumin
9.95551E+14	Coagulation factor assay
9.96771E+14	Serum total T3 level
9.97351E+14	Serum insulin-like growth factor 1 level
9.97481E+14	Plasma cholinesterase level
9.98071E+14	Pregnancy associated plasma protein A multiple of median
9.99211E+14	Serum vitamin level
9.99211E+14	Serum vitamin level
9.99641E+14	Serum transferrin level
9.99641E+14	Serum transferrin level
1000741000000103	Serum osmolality
1000881000000102	Serum aspartate aminotransferase level
1000881000000102	Serum aspartate aminotransferase level
1000901000000104	Plasma lactate dehydrogenase level
1003761000000107	Whole blood sirolimus concentration
1006691000000103	Serum digoxin level
1007061000000103	Blood arterial pH
1007231000000104	Plasma free beta HCG (human chorionic gonadotrophin) MoM (multiple of median)
1007681000000102	Serum glomerular basement membrane antibody level
1010461000000106	Anti-neutrophil cytoplasmic antibody level
1010581000000101	Plasma HDL (high density lipoprotein) cholesterol level
1011031000000101	Serum glutamic acid decarboxylase antibody concentration
1013021000000104	Plasma parathyroid hormone level
1014231000000108	Hepatitis B core antibody level
1015231000000107	Serum insulin - C-polypeptide level
1016971000000106	Serum free T4 level
1017381000000106	Plasma sodium level
1017381000000106	Plasma sodium level
1019351000000105	Serum iron level
1019351000000105	Serum iron level
1020231000000105	Serum netilmicin level
1021111000000102	Transferrin level
1021111000000102	Transferrin level
9.91861E+14	Haematology test
9.93811E+14	Microscopy
9.93851E+14	Presence of virus
9.96991E+14	Complement fourth component - C4
9.97061E+14	Sample serology
9.97421E+14	Serum lipase level
9.97551E+14	Plasma conjugated bilirubin level
9.97551E+14	Plasma conjugated bilirubin level
9.99351E+14	Plasma insulin C-peptide level
1000461000000109	Serum CA 125 level
1000621000000104	Serum alkaline phosphatase level
1000621000000104	Serum alkaline phosphatase level
1001021000000101	Serum urate level
1001251000000101	Plasma troponin I level
1001561000000100	Plasma iron level
1001561000000100	Plasma iron level
1002091000000106	Lipoprotein (a) level
1002561000000109	Serum cystatin C level
1002641000000107	Serum procollagen type III N-terminal propeptide level
1003451000000103	Phenylalanine level
1003671000000109	Haemoglobin A1c level
1000661000000107	Serum sodium level
1000661000000107	Serum sodium level
1000671000000100	Serum chloride level
1000691000000101	Serum calcium level
1000691000000101	Serum calcium level
1000931000000105	Serum creatine kinase level
1000951000000103	Serum urea level
1000951000000103	Serum urea level
1003231000000109	Urine potassium level
1003261000000104	Urine urea level
1003261000000104	Urine urea level
777458005	Rocuronium (product)
1004741000000108	Plasma amikacin level
1006831000000103	Plasma gentamicin level
1006931000000107	Serum gentamicin level
1007741000000102	Glutamic acid decarboxylase antibody level
1007891000000104	Antibiotic drug level
1009801000000100	Epstein-Barr virus serology
1010221000000104	Urine oxalate level
1011561000000102	Serum lipoprotein(a) level
1012671000000103	Blood potassium level
1012671000000103	Blood potassium level
1012961000000103	Plasma aldosterone level
1013041000000106	Plasma alkaline phosphatase level
1013041000000106	Plasma alkaline phosphatase level
1015501000000103	Percentage basophils
1015501000000103	Percentage basophils
1015971000000100	Kidney function tests
1016311000000102	Osmolality urine/serum ratio
1017421000000102	Plasma amino acid levels
9.97001E+14	Immunoglobulins
9.97581E+14	Serum conjugated bilirubin level
9.97581E+14	Serum conjugated bilirubin level
9.97671E+14	Blood glucose level
9.97671E+14	Blood glucose level
9.98421E+14	Plasma N-terminal pro B-type natriuretic peptide concentration
1001091000000103	Serum magnesium level
1001091000000103	Serum magnesium level
1001231000000108	Serum globulin level
1001271000000105	Serum troponin I level
1003321000000100	Urine calcium level
1003351000000105	Conjugated bilirubin level
1004591000000109	Serum clozapine level
1006671000000102	Serum carbamazepine level
1006961000000102	Serum tobramycin level
1009251000000100	Microbiology test
1010571000000103	Plasma lipoprotein A level
1010601000000105	Plasma triglyceride level
1011491000000107	eGFR (estimated glomerular filtration rate) using cystatin C Chronic Kidney Disease Epidemiology Collaboration equation per 1.73 square metres
1014201000000102	Hepatitis B surface antibody level
1015471000000105	Percentage neutrophils
1016211000000107	Fluid sample osmolality
1016681000000102	Myeloperoxidase antibody level
1017541000000108	Trace element level
1017781000000107	Blood transfusion test
1019221000000107	D-dimer level
1019301000000109	Fibrinogen level
1019561000000101	Blood haematinic levels
1019561000000101	Blood haematinic levels
1020681000000107	Sodium level
1022191000000100	Serum low density lipoprotein cholesterol level
1022191000000100	Serum low density lipoprotein cholesterol level
1022561000000101	Eosinophil count
1022561000000101	Eosinophil count
1022831000000108	Serum total T4 level
1022451000000103	Red blood cell count
1022471000000107	Mean cell haemoglobin
1022521000000109	Glucose 6-phosphate dehydrogenase
1022571000000108	Basophil count
1022571000000108	Basophil count
1024231000000104	Fluid sample cholesterol level
9.91901E+14	ABO blood grouping
9.92971E+14	Plasma digoxin level
9.93411E+14	Serum folate level
9.93611E+14	Fluid sample sodium
9.96401E+14	Serum pregnancy associated plasma protein-A mean of median
9.96521E+14	Phenytoin level
1024211000000107	Fluid sample pH
1024461000000108	Fluid sample magnesium level
1024461000000108	Fluid sample magnesium level
9.93401E+14	Red blood cell folate level
9.93591E+14	Anti-nuclear factor
9.93591E+14	Anti-nuclear antibody
9.93631E+14	Fluid sample chloride
9.96581E+14	Electrolytes level
9.97391E+14	Plasma AFP (alpha-fetoprotein) MoM (multiple of median)
9.97591E+14	Serum total bilirubin level
9.99651E+14	Plasma C reactive protein
1020291000000106	GFR (glomerular filtration rate) calculated by abbreviated Modification of Diet in Renal Disease Study Group calculation
1022511000000103	Erythrocyte sedimentation rate
1022811000000100	Plasma free triiodothyronine level
1022811000000100	Plasma free triiodothyronine level
1024251000000106	Fluid sample calcium level
1024451000000105	Fluid sample phosphate level
9.91901E+14	Blood grouping
9.91911E+14	Rhesus blood grouping
9.93441E+14	Reticulocyte count
9.93441E+14	Reticulocyte count
9.93481E+14	Mean platelet volume
9.93681E+14	Fluid sample bicarbonate
9.93691E+14	Fluid lactate dehydrogenase level
9.95511E+14	Plasma chloride level
9.95891E+14	Proteinase 3 antibody level
9.97031E+14	IgA
9.97491E+14	Serum amylase level
9.98771E+14	Hepatitis C antibody level
777458005	Rocuronium
1000641000000106	Serum electrolytes level
1000681000000103	Serum bicarbonate level
1000771000000109	Blood aluminium level
1000821000000103	Serum albumin level
1000821000000103	Serum albumin level
1000851000000108	Plasma GGT (gamma-glutamyl transferase) level
1000861000000106	Serum GGT (gamma-glutamyl transferase) level
1000911000000102	Plasma creatine kinase level
1000961000000100	Plasma urea level
1000961000000100	Plasma urea level
1001031000000104	Plasma urate level
1001141000000109	Plasma aluminium level
9.92551E+14	Fluid sample volume
9.92551E+14	Volume of sample
9.93111E+14	Plasma globulin level
9.93391E+14	Serum vitamin B12 level
9.93501E+14	Red blood cell distribution width
9.93621E+14	Fluid sample potassium
9.95901E+14	Complement component 3 nephritic factor level
9.97021E+14	IgM
9.97221E+14	Serum parathyroid hormone level
9.98051E+14	Pregnancy associated plasma protein A level
1000651000000109	Serum potassium level
1000651000000109	Serum potassium level
1000891000000100	Plasma aspartate transaminase level
1000891000000100	Plasma aspartate transaminase level
1003271000000106	Urine creatinine level
1004731000000104	Blood cyclosporin level
1005661000000103	Serum lipids level
1005781000000104	Serum valproate concentration
1006901000000101	Serum amikacin level
1007281000000100	Serum apolipoprotein B level
1010391000000109	Fluid sample creatinine
1010391000000109	Fluid sample creatinine
1010531000000100	Serum aldosterone level
1010561000000105	Plasma apolipoprotein B level
1012701000000104	Blood bicarbonate level
1012811000000107	Plasma phenylalanine level
1014601000000100	Tumour marker levels
1014971000000101	Viral load
1015491000000109	Percentage monocytes
1015491000000109	Percentage monocytes
1015561000000104	Percentage eosinophils
1015561000000104	Percentage eosinophils
1017441000000109	Serum amino acid level
1018851000000108	Glucose level
1018851000000108	Glucose level
1019491000000106	Red blood cell volume
1022161000000106	Blood grouping
1022801000000102	Plasma TSH (thyroid stimulating hormone) level
1022841000000104	Plasma free T4 level
9.93271E+14	Plasma carbamazepine level
9.93381E+14	Serum ferritin level
9.93381E+14	Serum ferritin level
9.93401E+14	RBC (red blood cell) folate level
9.93671E+14	Fluid sample amylase
9.93701E+14	Urine volume
9.96101E+14	Epstein-Barr virus viral load
9.96971E+14	Complement test
9.97011E+14	IgG
9.97731E+14	Serum 25-hydroxyvitamin D2 level
9.98431E+14	Serum N-terminal pro B-type natriuretic peptide concentration
9.99081E+14	Bilirubin direct measurement
9.99081E+14	Bilirubin direct measurement
9.99691E+14	Serum bilirubin level
9.99691E+14	Serum bilirubin level
1000731000000107	Serum creatinine level
1000731000000107	Serum creatinine level
1000761000000102	Blood magnesium level
1000761000000102	Blood magnesium level
1000921000000108	Serum lactate dehydrogenase level
1001101000000106	Serum aluminium level
1001131000000100	Plasma magnesium level
1001131000000100	Plasma magnesium level
1003061000000105	Plasma vitamin B12 level
1003221000000107	Urine electrolytes
1003341000000107	Urine drug levels
1003431000000105	Plasma lipids
1005681000000107	Serum high density lipoprotein cholesterol level
1005681000000107	Serum high density lipoprotein cholesterol level
1007661000000106	Autoantibody level
1008501000000107	Whole blood tacrolimus concentration
1009301000000107	Saturation of iron binding capacity
1009301000000107	Saturation of iron binding capacity
1009751000000107	Fluid sample globulin level
1010401000000107	Fluid sample glucose
1010401000000107	Fluid sample glucose
1010611000000107	Serum glucose level
1010611000000107	Serum glucose level
1012131000000106	Brain natriuretic peptide level
1012681000000101	Blood sodium level
1012681000000101	Blood sodium level
1013011000000105	Plasma renin level
1014191000000104	Hantavirus antibody level
1015261000000102	Serum troponin T level
1017401000000106	Plasma potassium level
1017401000000106	Plasma potassium level
1018251000000107	Serum alanine aminotransferase level
1018251000000107	Serum alanine aminotransferase level
1011481000000105	eGFR (estimated glomerular filtration rate) using creatinine Chronic Kidney Disease Epidemiology Collaboration equation per 1.73 square metres
1011981000000101	ENA (extractable nuclear antigen) antibody screening test
1013361000000105	Plasma albumin level
1013361000000105	Plasma albumin level
1016851000000107	Thyroid function test
1017391000000108	Plasma calcium level
1017391000000108	Plasma calcium level
1019781000000103	Urine osmolality
1019881000000107	Urine chloride level
1022501000000100	Plasma viscosity
1022551000000104	Granulocyte count
1022551000000104	Granulocyte count
1022821000000106	Plasma total T4 level
1024201000000105	Fluid sample bilirubin
1024201000000105	Fluid sample bilirubin
9.92771E+14	Hepatitis C virus genotype
9.93641E+14	Fluid sample urea
9.93641E+14	Fluid sample urea
9.96231E+14	GFR (glomerular filtration rate) calculated by abbreviated Modification of Diet in Renal Disease Study Group calculation adjusted for African American origin
9.96981E+14	Complement third component - C3
9.97561E+14	Plasma total bilirubin level
9.98551E+14	Plasma human chorionic gonadotrophin concentration
1007891000000104	Antimicrobial drug level
1007991000000105	Serum total 25-hydroxy vitamin D level
1008861000000109	Parvovirus B19 antibody level
1009461000000103	Parvovirus antibody level
1010511000000108	Serum T4 level
1010671000000102	Plasma glucose level
1012691000000104	Blood chloride level
1013661000000104	Percentage iron saturation
1014371000000100	Parvovirus B19 IgM level
1015171000000102	Complement C1q level
1015431000000108	Thrombin time
1016381000000109	Fluid sample triglyceride level
1016671000000104	Islet cell antibody level
1016741000000102	Immunology test
1016961000000104	Serum free triiodothyronine level
1016961000000104	Serum free triiodothyronine level
1022471000000107	MCH - Mean corpuscular haemoglobin
1022551000000104	Neutrophil count
1022551000000104	Neutrophil count
1022591000000107	Monocyte count
1022591000000107	Monocyte count
1001011000000107	Plasma creatinine level
1001011000000107	Plasma creatinine level
1003241000000100	Urine sodium level
1005561000000102	Plasma oxalate level
1006871000000101	Plasma tobramycin level
1007221000000101	Base excess
1003591000000107	Serum phenylalanine level
1004511000000100	Serum magnesium adjusted level
1004511000000100	Serum magnesium adjusted level
1006681000000100	Serum lithium level
1007141000000103	Plasma HCG (human chorionic gonadotrophin) MoM (multiple of median)
1008931000000108	Hepatitis C antibody test
1010591000000104	Plasma LDL (low density lipoprotein) cholesterol level
63501000	Nodular prurigo
81418003	Discoid eczema
237371007	WLE (wide local excision) of breast lesion
254818000	Dysplastic melanocytic naevus of skin
1030631000000106	Urine protein test (observable entity)
1030791000000100	Prostate specific antigen level (observable entity)
1030801000000101	Free thyroxine level (observable entity)
1030801000000101	Free thyroxine level (observable entity)
1030911000000106	Adjusted magnesium level (observable entity)
1031031000000109	N terminal pro-brain natriuretic peptide level (observable entity)
1031051000000102	Aluminium level (observable entity)
1031101000000102	Aspartate aminotransferase level (observable entity)
1031101000000102	Aspartate aminotransferase level (observable entity)
1031181000000107	Serum vitamin D level (observable entity)
1031281000000101	Human chorionic gonadotrophin level (observable entity)
1026441000000100	Serum cholesterol studies (observable entity)
1026691000000107	Serum sodium valproate level (observable entity)
1026701000000107	Carcinoembryonic antigen level (observable entity)
1026761000000106	Total bilirubin level (observable entity)
774983007	Calcitriol (product)
1027131000000103	Thyroid hormone tests (observable entity)
1027131000000103	Thyroid hormone tests (observable entity)
1027141000000107	Free triiodothyronine level (observable entity)
1027141000000107	Free triiodothyronine level (observable entity)
1027431000000107	Serum cholinesterase level (observable entity)
1027511000000100	Cancer antigen 125 level (observable entity)
1027691000000105	Leucocyte count (observable entity)
1027691000000105	Leucocyte count (observable entity)
1027751000000106	Iron level (observable entity)
1027751000000106	Iron level (observable entity)
1027761000000109	Thiopurine methyl transferase level (observable entity)
1027901000000107	Clozapine level (observable entity)
1027931000000101	Blood calcium level (observable entity)
1027931000000101	Blood calcium level (observable entity)
1027981000000102	Blood cystatin C level (observable entity)
1028011000000106	Procollagen type III N-terminal propeptide level (observable entity)
1028041000000107	Calcium level (observable entity)
1028091000000102	Gamma-glutamyl transferase level (observable entity)
1028091000000102	Gamma-glutamyl transferase level (observable entity)
1028111000000107	Lactate dehydrogenase level (observable entity)
1028151000000106	Blood thiopurine methyltransferase level (observable entity)
1028271000000109	Albumin/creatinine ratio (observable entity)
1028281000000106	Blood urea (observable entity)
1028281000000106	Blood urea (observable entity)
1028331000000101	Genotype (observable entity)
1028411000000100	Magnesium level (observable entity)
1028441000000104	Potassium level (observable entity)
1028521000000107	Polymorphonuclear leucocyte count (observable entity)
1028641000000101	Blood coagulation test (observable entity)
1028811000000103	Urine protein level (observable entity)
1028951000000109	Blood sirolimus level (observable entity)
1029801000000105	Total 25-hydroxyvitamin D level (observable entity)
1027511000000100	CA 125 (cancer antigen 125) level
1027511000000100	CA 125 level
1027761000000109	Thiopurine methyl transferase level
1031031000000109	N terminal pro-brain natriuretic peptide level
1030911000000106	Adjusted magnesium level
1031281000000101	Human chorionic gonadotrophin level
1029801000000105	Total 25-hydroxyvitamin D level
1027901000000107	Clozapine level
1031421000000101	High density lipoprotein/total cholesterol ratio (observable entity)
1031741000000103	GBM (glomerular basement membrane) antibody level
1026281000000107	Blood tacrolimus level (observable entity)
1027151000000105	Thyroid stimulating hormone level (observable entity)
1027151000000105	Thyroid stimulating hormone level (observable entity)
1028101000000105	Creatine kinase level (observable entity)
1027141000000107	FT3 (free triiodothyronine) level
1030801000000101	Free thyroxine level
1030801000000101	Free thyroxine level
1030801000000101	FT4 - Free thyroxine level
1031101000000102	Aspartate transaminase level
1031101000000102	Aspartate transaminase level
1026691000000107	Serum sodium valproate level
1031051000000102	Aluminium level
1028441000000104	Potassium level
1028041000000107	Calcium level
1028411000000100	Magnesium level
1026701000000107	Carcinoembryonic antigen level
1027751000000106	Iron level
1027751000000106	Iron level
1031101000000102	AST - aspartate transaminase (SGOT)
1030801000000101	Free T4 level
1026441000000100	Serum cholesterol studies
1030801000000101	Free T4
1030791000000100	Prostate specific antigen level
1030791000000100	PSA (prostate-specific antigen) level
1028641000000101	Blood coagulation test
1028641000000101	Bleeding tests
1028641000000101	Clotting tests
1028641000000101	Coagulation tests
1026701000000107	CEA - Carcinoembryonic antigen level
1026761000000106	Total bilirubin level
1028111000000107	Lactate dehydrogenase level
1028111000000107	LDH (HBD) level
1028281000000106	Blood urea
1028281000000106	Blood urea
1031181000000107	Serum vitamin D level
1028811000000103	Urine protein level
1028091000000102	GGT (gamma-glutamyl transferase) level
1264044008	Gynaecological oncology service
1027131000000103	Thyroid hormone tests
1027131000000103	Thyroid hormone tests
1027431000000107	Serum cholinesterase level
1031741000000103	Glomerular basement membrane antibody level
1031741000000103	Glomerular basement membrane antibody level (observable entity)
1028271000000109	Albumin/creatinine ratio
1028271000000109	Albumin / creatinine ratio
774983007	Calcitriol
1028101000000105	Creatine kinase level
775748008	Emedastine (product)
775748008	Emedastine
1028101000000105	CK (creatine kinase) level
776145007	Neomycin + Gramicidin (product)
776145007	Neomycin + Gramicidin
777597000	Sotalol (product)
777597000	Sotalol
1163351002	Finerenone (product)
1027151000000105	TSH (thyroid stimulating hormone) level
1163351002	Finerenone
774525005	Amantadine (product)
774525005	Amantadine
775380008	Sumatra benzoin (product)
775380008	Sumatra benzoin (product)
775380008	Sumatra benzoin
775380008	Sumatra benzoin
776833000	Moxonidine (product)
776833000	Moxonidine
776272008	Hydroxycarbamide (product)
776272008	Hydroxycarbamide
776374007	Iomeprol (product)
776374007	Iomeprol
775289007	Clindamycin + Tretinoin (product)
1028331000000101	Genotype
775289007	Clindamycin + Tretinoin
783574009	Ravulizumab (product)
783574009	Ravulizumab
777139007	Pergolide (product)
777139007	Pergolide
1027931000000101	Blood calcium level
1027931000000101	Blood calcium level
777013006	Oxandrolone (product)
777013006	Oxandrolone
774603007	Amylmetacresol (product)
774603007	Amylmetacresol
774549008	Aminosalicylic acid (product)
774549008	Aminosalicylic acid
775024009	Salicylic acid + Camphor (product)
775024009	Salicylic acid + Camphor
774423001	Acetylcholine (product)
774423001	Acetylcholine
1031421000000101	High density lipoprotein/total cholesterol ratio
776845009	Mycophenolic acid (product)
776845009	Mycophenolic acid
778531003	Blinatumomab (product)
778531003	Blinatumomab
774537007	Amiloride + Bumetanide (product)
774537007	Amiloride + Bumetanide
1162701003	Casirivimab (product)
1162701003	Casirivimab
777205002	Pioglitazone (product)
777205002	Pioglitazone
777687003	Teduglutide (product)
777687003	Teduglutide
777025009	Oxybutynin (product)
777025009	Oxybutynin
776972000	Ofatumumab (product)
776972000	Ofatumumab
774615006	Antazoline (product)
1030631000000106	Urine dipstick for protein
774615006	Antazoline
1030631000000106	Urine protein test
